node,importance_score,HIV_vs_Healthy
CCL19,0.1348435814455232,0.0
CDC42,0.5954692556634305,-0.0748368237195429
CCL14,0.1348435814455232,-0.0005621135469364812
ROCK1,0.0970873786407767,0.0
GNB2,0.1790722761596548,-0.25391075004755526
GNG8,0.1348435814455232,0.0
STAT2,0.07389428263214672,-0.7216823469171842
CCL8,0.22545846817691478,-0.15957032663346504
GNB5,0.133764832793959,-0.024751926559452898
IKBKG,0.0970873786407767,-0.5622356791574342
XCR1,0.081445523193096,-0.0675672085978641
CCL25,0.1348435814455232,0.0
GNAQ,0.1256742179072276,0.0
PXN,0.11758360302049622,0.0
CCL7,0.1348435814455232,-0.5187956908088481
GNG4,0.33495145631067963,-0.28496530986929103
CCL1,0.1348435814455232,0.0
PREX1,0.12297734627831715,0.0
STAT5B,0.12405609492988134,0.0
CX3CL1,0.1348435814455232,-0.0005621135469364812
RAC1,0.2696871628910464,0.0
PAK1,0.1348435814455232,-0.02758142478838303
CXCR3,0.319848975188781,-0.127226966550122
SHC1,0.255663430420712,0.0
SRC,0.3268608414239482,-0.3462109547106245
CCL26,0.1348435814455232,0.0
GNGT2,0.1348435814455232,0.0
GNG10,0.1348435814455232,0.0
GNG2,0.133764832793959,-0.014090699661907478
IKBKB,0.3074433656957929,-0.2322664778502531
RAC3,0.2696871628910464,0.0
CCL18,0.2297734627831715,-1.8930494247725114e-05
ITK,0.1348435814455232,0.0
WAS,0.1348435814455232,-0.011842245474161555
GNGT1,0.1348435814455232,0.0
SHC2,0.255663430420712,0.0
GNG7,0.21898597626752966,-0.005640065963612537
BCAR1,0.23516720604099245,-0.5230364268508909
CCR10,0.08791801510248112,-0.09902663673205932
CRK,0.11758360302049622,0.0
PIK3CG,0.9439050701186623,0.0
CCL17,0.3435814455231931,-0.38255903031901856
CCL5,0.1192017259978425,-0.18787843813651878
CCR2,0.09924487594390508,0.0
CCL21,0.5625674217907227,-0.3056062658714638
SHC4,0.24163969795037757,-0.1940048956700769
CXCL9,0.5124056094929881,0.0
XCL1,0.1348435814455232,0.0
BRAF,0.1348435814455232,-0.4127165289778541
PRKCZ,0.1348435814455232,-0.38794414527139154
RHOA,0.2912621359223301,-0.4797594850172771
CCR5,0.09223300970873786,-0.0033916117758666124
CXCL12,0.19633225458468176,-0.36336411981293004
RAF1,0.1348435814455232,0.0
CCR6,0.12837108953613807,-0.553863820741654
GNB3,0.25782092772384035,0.0
GNG13,0.1348435814455232,0.0
PARD3,0.1348435814455232,-0.13013218675604302
CCL27,0.19848975188781015,-0.25846444990579026
GNG3,0.1348435814455232,0.0
PRKCB,0.6941747572815534,-0.33609291086576787
NRAS,0.5393743257820928,0.0
CXCL14,0.5151024811218986,-0.36978186269346125
ROCK2,0.0970873786407767,0.0
RAC2,0.2696871628910464,0.0
CCL3,0.20604099244875945,-0.2813218003877087
RELA,0.127831715210356,-0.09906449772055476
GNG5,0.07227615965480043,-0.6570405103416984
CCL28,0.1348435814455232,0.0
RAP1B,0.7303128371089536,-0.005077952416676056
CCR9,0.11758360302049622,-0.6656923568740136
LYN,0.49568500539374327,0.0
